playername,team,flag_reason,metric_value,last_test_date
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 26.5% vs baseline,0.2682,2022-07-27
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 25.4% vs baseline,0.2459,2022-08-09
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 39.1% vs baseline,0.6915,2022-08-22
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 15.9% vs baseline,0.3597,2022-09-06
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 33.2% vs baseline,0.7678,2022-09-06
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 33.0% vs baseline,0.241,2022-09-06
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 23.9% vs baseline,0.2405,2022-09-20
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 10.3% vs baseline,0.7336,2023-04-24
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 12.4% vs baseline,0.3274,2023-07-10
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 23.3% vs baseline,0.2738,2023-07-10
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 11.1% vs baseline,0.6417,2023-07-10
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 96.5% vs baseline,0.013,2023-08-01
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 74.2% vs baseline,0.2119,2023-08-01
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 11.4% vs baseline,0.3266,2023-08-09
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 15.0% vs baseline,0.316,2023-10-15
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 60.9% vs baseline,0.1146,2023-10-24
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 40.5% vs baseline,0.3588,2023-10-24
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 14.0% vs baseline,0.7361,2023-11-19
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 71.5% vs baseline,0.0447,2023-12-12
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 31.3% vs baseline,0.2714,2023-12-16
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 47.9% vs baseline,0.0287,2023-12-28
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 20.0% vs baseline,0.264,2023-12-28
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 71.7% vs baseline,0.0483,2023-12-29
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 21.9% vs baseline,0.4155,2023-12-29
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 69.9% vs baseline,0.0279,2024-01-05
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 21.7% vs baseline,0.3124,2024-01-05
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 87.3% vs baseline,0.0422,2024-01-09
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 64.7% vs baseline,0.2714,2024-01-09
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 20.5% vs baseline,0.302,2024-01-21
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 30.8% vs baseline,0.603,2024-01-21
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 89.2% vs baseline,0.033,2024-01-24
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 58.8% vs baseline,0.2603,2024-01-24
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 14.3% vs baseline,0.2732,2024-01-26
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 75.7% vs baseline,0.0777,2024-01-31
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 55.2% vs baseline,0.3405,2024-01-31
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 72.6% vs baseline,0.0668,2024-02-02
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 45.3% vs baseline,0.3384,2024-02-02
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 77.5% vs baseline,0.0442,2024-02-06
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 56.9% vs baseline,0.2399,2024-02-06
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 21.9% vs baseline,0.6036,2024-02-21
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 89.2% vs baseline,0.0371,2024-02-27
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 51.0% vs baseline,0.3375,2024-02-27
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 90.3% vs baseline,0.032,2024-03-05
PLAYER_002,Team: Stony Brook Men's Basketball ,RSI drop 55.5% vs baseline,0.3035,2024-03-05
PLAYER_002,Team: Stony Brook Men's Basketball ,CMJ height drop 57.2% vs baseline,0.0798,2025-07-07
PLAYER_003,"Group: Football Bigs, Team: Stony Brook, Team: Stony Brook Football",RSI drop 14.9% vs baseline,0.5624,2023-09-27
PLAYER_003,"Group: Football Bigs, Team: Stony Brook, Team: Stony Brook Football",CMJ height drop 14.2% vs baseline,0.2868,2024-01-25
PLAYER_003,"Group: Football Bigs, Team: Stony Brook, Team: Stony Brook Football",RSI drop 12.1% vs baseline,0.6064,2024-01-25
PLAYER_003,"Group: Football Bigs, Team: Stony Brook, Team: Stony Brook Football",CMJ height drop 10.4% vs baseline,0.2926,2024-03-08
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 30.9% vs baseline,0.3105,2022-07-29
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 20.4% vs baseline,0.4647,2023-04-26
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 66.2% vs baseline,0.0973,2023-07-06
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 41.2% vs baseline,0.3374,2023-07-06
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 34.1% vs baseline,0.159,2023-07-06
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 13.5% vs baseline,0.4446,2023-07-06
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 35.4% vs baseline,0.1374,2023-07-06
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 24.1% vs baseline,0.3863,2023-07-06
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 14.4% vs baseline,0.1458,2023-07-06
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 20.6% vs baseline,0.3565,2023-07-06
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 13.5% vs baseline,0.5732,2023-07-18
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 10.3% vs baseline,0.5591,2023-07-25
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 11.9% vs baseline,0.6025,2023-08-23
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 10.6% vs baseline,0.5957,2023-10-12
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 16.7% vs baseline,0.5434,2023-10-12
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 10.2% vs baseline,0.2261,2023-10-19
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 15.1% vs baseline,0.2055,2023-10-19
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 11.5% vs baseline,0.4902,2023-10-19
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 15.9% vs baseline,0.2055,2023-10-31
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 10.3% vs baseline,0.509,2023-10-31
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 59.1% vs baseline,0.1153,2024-01-22
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 39.9% vs baseline,0.3722,2024-01-22
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 53.1% vs baseline,0.1143,2024-01-22
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 26.4% vs baseline,0.4027,2024-01-22
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 51.4% vs baseline,0.0947,2024-01-22
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 39.5% vs baseline,0.2988,2024-01-22
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 33.9% vs baseline,0.1001,2024-01-22
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 25.1% vs baseline,0.3115,2024-01-22
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 10.7% vs baseline,0.2606,2024-03-06
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 17.1% vs baseline,0.552,2024-03-06
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 25.6% vs baseline,0.4647,2024-04-01
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 59.3% vs baseline,0.1288,2024-04-10
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 18.6% vs baseline,0.4793,2024-04-10
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 48.3% vs baseline,0.1405,2024-04-10
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 46.2% vs baseline,0.3001,2024-04-10
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 55.2% vs baseline,0.0991,2024-04-10
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 28.8% vs baseline,0.3413,2024-04-10
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 43.1% vs baseline,0.0937,2024-04-10
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 13.1% vs baseline,0.3731,2024-04-10
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 16.1% vs baseline,0.1255,2024-07-08
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 28.2% vs baseline,0.1046,2024-07-08
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 19.3% vs baseline,0.3626,2024-07-08
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 14.7% vs baseline,0.2408,2024-10-22
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 22.1% vs baseline,0.513,2024-10-22
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 19.7% vs baseline,0.2187,2024-10-22
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 25.6% vs baseline,0.1928,2024-11-06
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 22.4% vs baseline,0.4745,2024-11-06
PLAYER_006,Team: Stony Brook Women's Volleyball,CMJ height drop 38.5% vs baseline,0.144,2024-11-06
PLAYER_006,Team: Stony Brook Women's Volleyball,RSI drop 28.1% vs baseline,0.4041,2024-11-06
PLAYER_007,Team: Stony Brook Womens Soccer,RSI drop 19.7% vs baseline,0.7723,2025-07-14
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 10.8% vs baseline,0.556,2023-04-12
PLAYER_008,Team: Stony Brook Women's Volleyball,CMJ height drop 58.2% vs baseline,0.1443,2023-07-06
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 39.0% vs baseline,0.3991,2023-07-06
PLAYER_008,Team: Stony Brook Women's Volleyball,CMJ height drop 47.7% vs baseline,0.1547,2023-07-06
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 34.2% vs baseline,0.3908,2023-07-06
PLAYER_008,Team: Stony Brook Women's Volleyball,CMJ height drop 46.9% vs baseline,0.1339,2023-07-06
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 35.3% vs baseline,0.3463,2023-07-06
PLAYER_008,Team: Stony Brook Women's Volleyball,CMJ height drop 29.2% vs baseline,0.1382,2023-07-06
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 13.6% vs baseline,0.3905,2023-07-06
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 10.1% vs baseline,0.7591,2023-07-18
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 15.2% vs baseline,0.5998,2023-09-28
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 11.5% vs baseline,0.5996,2023-10-05
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 19.3% vs baseline,0.5299,2023-10-05
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 14.7% vs baseline,0.6247,2023-10-17
PLAYER_008,Team: Stony Brook Women's Volleyball,RSI drop 20.0% vs baseline,0.5378,2023-10-24
PLAYER_009,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 10.5% vs baseline,0.5384,2023-10-03
PLAYER_009,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",CMJ height drop 11.6% vs baseline,0.2682,2024-02-01
PLAYER_009,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 21.4% vs baseline,0.4574,2024-03-14
PLAYER_009,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 12.4% vs baseline,0.5056,2024-05-01
PLAYER_009,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 15.1% vs baseline,0.4812,2024-05-01
PLAYER_009,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 15.6% vs baseline,0.4599,2024-05-07
PLAYER_009,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",RSI drop 11.2% vs baseline,0.4863,2025-01-18
PLAYER_010,Team: Stony Brook Baseball,CMJ height drop 14.1% vs baseline,0.3123,2021-01-19
PLAYER_010,Team: Stony Brook Baseball,CMJ height drop 12.4% vs baseline,0.3072,2021-01-19
PLAYER_012,"Group: Baseball Position Players, Team: Stony Brook Baseball",CMJ height drop 10.7% vs baseline,0.3068,2024-12-05
PLAYER_013,Team: Stony Brook Men's T&F,CMJ height drop 13.3% vs baseline,0.3058,2022-09-06
PLAYER_014,Team: Stony Brook Football,CMJ height drop 31.7% vs baseline,0.2797,2023-01-23
PLAYER_014,Team: Stony Brook Football,RSI drop 27.8% vs baseline,0.6113,2023-01-23
PLAYER_014,Team: Stony Brook Football,CMJ height drop 10.8% vs baseline,0.3686,2023-04-26
PLAYER_014,Team: Stony Brook Football,RSI drop 12.8% vs baseline,0.8373,2023-06-01
PLAYER_017,Team: Stony Brook Men's Soccer,RSI drop 10.2% vs baseline,0.7151,2023-08-12
PLAYER_017,Team: Stony Brook Men's Soccer,RSI drop 13.2% vs baseline,0.6552,2023-08-14
PLAYER_017,Team: Stony Brook Men's Soccer,RSI drop 13.6% vs baseline,0.6194,2023-08-17
PLAYER_017,Team: Stony Brook Men's Soccer,RSI drop 21.5% vs baseline,0.704,2024-02-16
PLAYER_017,Team: Stony Brook Men's Soccer,RSI drop 11.8% vs baseline,0.7577,2024-02-22
PLAYER_017,Team: Stony Brook Men's Soccer,RSI drop 14.0% vs baseline,0.6867,2024-02-22
PLAYER_017,Team: Stony Brook Men's Soccer,RSI drop 23.6% vs baseline,0.6293,2024-02-23
PLAYER_017,Team: Stony Brook Men's Soccer,RSI drop 13.7% vs baseline,0.6303,2024-03-04
PLAYER_017,Team: Stony Brook Men's Soccer,CMJ height drop 11.3% vs baseline,0.3795,2024-04-17
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 16.3% vs baseline,0.6603,2022-08-29
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 25.5% vs baseline,0.1835,2022-10-18
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 24.4% vs baseline,0.5479,2022-10-18
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 13.9% vs baseline,0.5312,2022-10-28
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 13.9% vs baseline,0.5,2022-11-11
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 14.4% vs baseline,0.2131,2022-11-17
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 12.8% vs baseline,0.2075,2022-11-17
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 10.4% vs baseline,0.2012,2022-12-01
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 12.0% vs baseline,0.1943,2023-02-16
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 38.2% vs baseline,0.3932,2023-02-16
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 16.6% vs baseline,0.1897,2023-04-20
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 13.7% vs baseline,0.5296,2023-04-27
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 11.6% vs baseline,0.5526,2023-09-29
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 16.3% vs baseline,0.5651,2023-10-20
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 19.6% vs baseline,0.2106,2023-11-14
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 14.6% vs baseline,0.2362,2023-12-07
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 16.9% vs baseline,0.5692,2023-12-07
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 26.9% vs baseline,0.4717,2023-12-07
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 11.2% vs baseline,0.2385,2024-01-09
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 15.7% vs baseline,0.2202,2024-04-02
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 18.5% vs baseline,0.2253,2024-09-17
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 12.5% vs baseline,0.2362,2024-09-17
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 11.6% vs baseline,0.2403,2025-01-09
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 11.2% vs baseline,0.633,2025-01-09
PLAYER_019,Team: Stony Brook Swimming and Diving,CMJ height drop 12.6% vs baseline,0.2268,2025-01-09
PLAYER_019,Team: Stony Brook Swimming and Diving,RSI drop 13.6% vs baseline,0.5794,2025-01-09
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 21.1% vs baseline,0.7548,2023-01-23
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",CMJ height drop 10.6% vs baseline,0.4097,2023-03-09
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",CMJ height drop 11.1% vs baseline,0.4023,2023-04-26
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 17.8% vs baseline,0.8631,2023-06-01
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 12.4% vs baseline,0.8997,2023-06-01
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 16.9% vs baseline,0.7953,2023-06-20
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 15.2% vs baseline,0.8325,2023-07-13
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 16.6% vs baseline,0.7039,2024-01-23
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 10.0% vs baseline,0.8388,2024-01-30
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",CMJ height drop 11.8% vs baseline,0.3614,2024-03-21
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 22.0% vs baseline,0.7699,2024-03-21
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 12.9% vs baseline,0.8322,2024-03-26
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 11.1% vs baseline,0.8299,2024-04-08
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",CMJ height drop 13.0% vs baseline,0.4308,2024-04-08
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",CMJ height drop 11.3% vs baseline,0.4036,2024-04-15
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",CMJ height drop 16.9% vs baseline,0.4201,2024-06-03
PLAYER_021,"Team: Stony Brook, Team: Stony Brook Football",RSI drop 12.9% vs baseline,0.8621,2024-06-10
PLAYER_022,Team: Stony Brook Volleyball,CMJ height drop 13.6% vs baseline,0.3719,2025-07-15
PLAYER_022,Team: Stony Brook Volleyball,RSI drop 15.2% vs baseline,0.6354,2025-07-15
PLAYER_022,Team: Stony Brook Volleyball,CMJ height drop 14.1% vs baseline,0.3462,2025-07-15
PLAYER_022,Team: Stony Brook Volleyball,RSI drop 16.1% vs baseline,0.6043,2025-07-15
PLAYER_024,Team: Stony Brook Women's T&F,RSI drop 11.2% vs baseline,0.7534,2023-04-12
PLAYER_025,Team: Old Football,CMJ height drop 12.6% vs baseline,0.4317,2021-05-05
PLAYER_026,"Group: MSOC 21-22, Team: Stony Brook Men's Soccer",CMJ height drop 68.5% vs baseline,0.1186,2022-04-27
PLAYER_027,"Group: Men's Basketball, Group: Men's Basketball, Team: Stony Brook",CMJ height drop 34.7% vs baseline,0.1902,2021-03-30
PLAYER_027,"Group: Men's Basketball, Group: Men's Basketball, Team: Stony Brook",RSI drop 11.4% vs baseline,0.3729,2021-03-30
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 24.6% vs baseline,0.5423,2022-10-18
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 11.1% vs baseline,0.6369,2022-11-17
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 15.6% vs baseline,0.561,2022-12-01
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 19.1% vs baseline,0.5783,2023-04-13
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 15.3% vs baseline,0.595,2023-04-13
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 11.4% vs baseline,0.5536,2023-10-06
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 11.7% vs baseline,0.5587,2023-10-27
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 14.0% vs baseline,0.5789,2023-11-14
PLAYER_028,Team: Stony Brook Swimming and Diving,CMJ height drop 10.9% vs baseline,0.2875,2023-11-30
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 10.8% vs baseline,0.6126,2023-11-30
PLAYER_028,Team: Stony Brook Swimming and Diving,CMJ height drop 12.3% vs baseline,0.2743,2023-11-30
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 16.1% vs baseline,0.5498,2023-11-30
PLAYER_028,Team: Stony Brook Swimming and Diving,CMJ height drop 11.8% vs baseline,0.2629,2023-12-05
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 17.8% vs baseline,0.5006,2024-01-18
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 12.5% vs baseline,0.5066,2024-01-18
PLAYER_028,Team: Stony Brook Swimming and Diving,CMJ height drop 10.4% vs baseline,0.2616,2024-01-18
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 10.8% vs baseline,0.54,2024-04-02
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 40.7% vs baseline,0.3374,2024-04-09
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 10.2% vs baseline,0.5445,2024-09-24
PLAYER_028,Team: Stony Brook Swimming and Diving,CMJ height drop 16.7% vs baseline,0.2268,2024-10-15
PLAYER_028,Team: Stony Brook Swimming and Diving,CMJ height drop 10.9% vs baseline,0.2659,2024-11-12
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 10.1% vs baseline,0.5384,2024-11-19
PLAYER_028,Team: Stony Brook Swimming and Diving,RSI drop 13.2% vs baseline,0.5638,2025-10-09
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",CMJ height drop 10.3% vs baseline,0.4201,2022-09-06
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",RSI drop 12.1% vs baseline,0.6833,2022-09-06
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",RSI drop 10.3% vs baseline,0.6549,2022-09-06
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",CMJ height drop 47.1% vs baseline,0.2278,2022-09-06
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",CMJ height drop 33.4% vs baseline,0.2532,2022-09-06
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",RSI drop 27.9% vs baseline,0.6384,2022-11-21
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",RSI drop 35.2% vs baseline,0.5665,2022-11-21
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",RSI drop 31.8% vs baseline,0.581,2023-03-01
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",RSI drop 24.7% vs baseline,0.5502,2023-03-01
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",CMJ height drop 15.3% vs baseline,0.364,2023-04-25
PLAYER_030,"Team: Stony Brook, Team: Stony Brook Men's T&F",CMJ height drop 10.2% vs baseline,0.362,2023-04-25
PLAYER_031,"Team: Stony Brook, Team: Stony Brook Men's T&F",CMJ height drop 31.0% vs baseline,0.3162,2022-09-06
PLAYER_031,"Team: Stony Brook, Team: Stony Brook Men's T&F",RSI drop 44.9% vs baseline,0.8091,2022-11-21
